Date,Price,Open,High,Low,Vol.,Change %
02/02/2021,26.3,27.15,27.2,26.3,38.58M,-3.13%
02/01/2021,27.15,27.2,27.35,27.1,31.52M,-0.18%
01/29/2021,27.2,27,27.5,27,44.96M,0.00%
01/28/2021,27.2,26.4,27.3,26.35,35.23M,3.03%
01/27/2021,26.4,26.25,26.5,26.25,47.16M,0.57%
01/26/2021,26.25,26.5,26.35,26.2,19.06M,-0.94%
01/25/2021,26.5,26.5,26.55,26.25,15.87M,0.00%
01/22/2021,26.5,26.45,26.5,26.4,25.71M,0.19%
01/21/2021,26.45,26.3,26.5,26.2,26.79M,0.57%
01/20/2021,26.3,26.2,26.3,26,13.83M,0.38%
01/19/2021,26.2,26.15,26.5,26.1,28.52M,0.19%
01/18/2021,26.15,26.55,26.55,25.9,31.38M,-0.57%
01/15/2021,26.3,26.4,26.8,26.3,36.27M,-0.38%
01/14/2021,26.4,25.9,26.5,26,42.81M,1.93%
01/13/2021,25.9,25.8,26,25.7,45.77M,0.39%
01/12/2021,25.8,25.85,25.85,25.55,16.54M,-0.19%
01/11/2021,25.85,25.65,25.9,25.65,13.36M,0.78%
01/08/2021,25.65,25.3,25.75,25.3,23.69M,1.38%
01/07/2021,25.3,25.1,25.45,25.1,12.98M,0.80%
01/06/2021,25.1,24.6,25.1,24.6,12.53M,2.03%
01/05/2021,24.6,25.7,25.7,24.5,31.71M,-4.28%
01/04/2021,25.7,24.8,26,25.7,8.77M,3.63%
12/31/2020,24.8,25,25,24.75,44.04M,-0.60%
12/30/2020,24.95,25,25.3,24.9,27.54M,-0.20%
12/29/2020,25,24.5,25.15,24.55,29.90M,2.04%
12/24/2020,24.5,24.5,25.4,24.5,84.43M,0.00%
12/23/2020,24.5,24.5,24.65,24.45,43.18M,0.00%
12/22/2020,24.5,24.3,24.6,24.1,59.02M,0.82%
12/21/2020,24.3,24.8,24.8,24,12.25M,-2.02%
12/18/2020,24.8,24.75,25,24.7,20.22M,0.20%
12/17/2020,24.75,24.1,24.75,24.5,15.77M,2.70%
